,p,q,theta,Tice,Sensor_Name
2018-03-11 01:55:00,-12.446966073423887,-16.09557334035092,0.19584504520652213,-8.975647,D
2018-03-11 01:56:00,-11.395370812797985,-16.01282063481423,0.045787833388313715,-8.976624,D
2018-03-11 01:57:00,-11.907642502947965,-16.61694585021049,0.11690986199201658,-8.977142,D
2018-03-11 01:58:00,-11.940776403597706,-16.23320533117306,0.1307153327930921,-8.977783,D
2018-03-11 01:59:00,-11.503759684478467,-16.68509104406766,0.07870829135133905,-8.978668,D
2018-03-11 02:00:00,-11.841406517325618,-16.086097053997563,0.09884913532016548,-8.979431,D
2018-03-11 02:01:00,-11.820705338551852,-16.534142480415717,0.08245582927908357,-8.980164,D
2018-03-11 02:02:00,-12.910904291553118,-16.63799690433286,0.10029191688646866,-8.980988,D
2018-03-11 02:03:00,-13.864838936504936,-17.11797652346043,0.08208251762234298,-8.981842,D
2018-03-11 02:04:00,-13.293722721230674,-16.46575659587019,0.2027487965747108,-8.982422,D
2018-03-11 02:05:00,-13.14797235846713,-16.919125956023247,0.1560419663269046,-8.983215,D
2018-03-11 02:06:00,-12.290840782850081,-16.20910605630942,0.21366718885983915,-8.983887,D
2018-03-11 02:07:00,-11.698994485909752,-16.542680636202757,0.12218489211141992,-8.984741,D
2018-03-11 02:08:00,-11.201561379667613,-16.542709154864546,0.13319644186231794,-8.985657,D
2018-03-11 02:09:00,-11.67537988001389,-16.177679536691503,0.22407914483228075,-8.986145,D
2018-03-11 02:10:00,-12.81531792702022,-16.645119128498262,0.17077379074428234,-8.987,D
2018-03-11 02:11:00,-13.045808155073503,-16.545467799945666,0.1773167660403221,-8.987762,D
2018-03-11 02:12:00,-11.820565066453979,-16.485672206148223,0.14903326022332175,-8.988525,D
2018-03-11 02:13:00,-12.20035341422103,-16.275367240799408,0.19389904288910143,-8.989105,D
2018-03-11 02:14:00,-12.70258971811138,-16.766372948894006,0.17736321513175834,-8.989868,D
2018-03-11 02:15:00,-12.177048773598134,-16.33693701681338,0.11460460030378727,-8.990936,D
2018-03-11 02:16:00,-12.893772684802125,-16.748515529508957,0.1396847854533736,-8.991333,D
2018-03-11 02:17:00,-13.531010291757354,-16.789337337086646,0.12925930553286147,-8.992188,D
2018-03-11 02:18:00,-13.125535197962817,-16.690076604110498,0.19946615719743166,-8.993073,D
2018-03-11 02:19:00,-12.865651374065951,-16.6987360840712,0.12438071998797096,-8.993927,D
2018-03-11 02:20:00,-14.153444970948202,-16.870766934885722,0.19272476038976216,-8.994446,D
2018-03-11 02:21:00,-13.736186288618509,-17.27608552786424,0.09522694971580381,-8.99527,D
