,p,q,theta,Tice,Sensor_Name
2018-03-09 05:55:00,,,,,A
2018-03-09 05:57:00,,,,,A
2018-03-09 06:00:00,,,,,A
2018-03-09 06:02:00,,,,,A
2018-03-09 06:04:00,,,,,A
2018-03-09 06:07:00,,,,,A
2018-03-09 06:09:00,,,,,A
2018-03-09 06:12:00,,,,,A
2018-03-09 06:14:00,,,,,A
2018-03-09 06:16:00,,,,,A
2018-03-09 06:19:00,,,,,A
2018-03-09 06:21:00,,,,,A
2018-03-09 06:23:00,,,,,A
2018-03-09 06:26:00,,,,,A
2018-03-09 06:28:00,,,,,A
2018-03-09 06:31:00,,,,,A
2018-03-09 06:33:00,,,,,A
2018-03-09 06:36:00,,,,,A
2018-03-09 06:38:00,,,,,A
2018-03-09 06:40:00,,,,,A
2018-03-09 06:42:00,,,,,A
2018-03-09 06:45:00,,,,,A
2018-03-09 06:47:00,,,,,A
2018-03-09 06:49:00,,,,,A
2018-03-09 06:52:00,,,,,A
2018-03-09 06:54:00,,,,,A
2018-03-09 06:56:00,,,,,A
2018-03-09 06:58:00,,,,,A
2018-03-09 07:01:00,,,,,A
2018-03-09 07:03:00,,,,,A
2018-03-09 07:06:00,,,,,A
2018-03-09 07:08:00,,,,,A
2018-03-09 07:10:00,,,,,A
2018-03-09 07:12:00,,,,,A
2018-03-09 07:15:00,,,,,A
2018-03-09 07:17:00,,,,,A
2018-03-09 07:20:00,,,,,A
2018-03-09 07:22:00,,,,,A
2018-03-09 07:24:00,,,,,A
2018-03-09 07:26:00,,,,,A
2018-03-09 07:29:00,,,,,A
2018-03-09 07:31:00,,,,,A
2018-03-09 07:33:00,,,,,A
2018-03-09 07:36:00,,,,,A
2018-03-09 07:38:00,,,,,A
2018-03-09 07:40:00,,,,,A
2018-03-09 07:43:00,,,,,A
2018-03-09 07:45:00,,,,,A
2018-03-09 07:47:00,,,,,A
2018-03-09 07:50:00,,,,,A
2018-03-09 08:00:00,,,,,A
2018-03-09 08:07:00,,,,,A
2018-03-09 08:11:00,,,,,A
2018-03-09 08:14:00,,,,,A
2018-03-09 08:17:00,,,,,A
2018-03-09 08:20:00,,,,,A
2018-03-09 08:23:00,,,,,A
2018-03-09 08:25:00,,,,,A
2018-03-09 08:28:00,,,,,A
