,p,q,theta,Tice,Sensor_Name
2018-03-20 10:09:00,-8.025664934977561,-12.328071128904892,1.1062926853033659,-11.28922,C
2018-03-20 10:10:00,-8.140939903256433,-12.207397496039961,1.1174472046990438,-11.28882,C
2018-03-20 10:11:00,-8.13874704224918,-12.080770124569108,1.1311674043844722,-11.28818,C
2018-03-20 10:12:00,-7.74888648576187,-11.748576959292928,1.1270051101046947,-11.28781,C
2018-03-20 10:13:00,-7.990066315813794,-12.080241021360965,1.1249566373454485,-11.28723,C
2018-03-20 10:14:00,-7.843415431606747,-12.02714687245739,1.1245134037406492,-11.28644,C
2018-03-20 10:15:00,-7.753456818313813,-12.018159992696908,1.1158786781349708,-11.28604,C
2018-03-20 10:16:00,-7.832905023271202,-12.086088455241253,1.1234878906912256,-11.28546,C
2018-03-20 10:17:00,-7.779049397757173,-12.013023493709891,1.1323036567093006,-11.28482,C
2018-03-20 10:18:00,-7.728469950608368,-11.937820472856401,1.1317823950803838,-11.28448,C
2018-03-20 10:19:00,-7.648405256239246,-11.892605222522267,1.1193422252516516,-11.28375,C
2018-03-20 10:20:00,-7.811013970191733,-12.078439835735841,1.101353581559433,-11.28323,C
2018-03-20 10:21:00,-8.042846482081234,-12.268071310327148,1.0973683802104963,-11.28271,C
2018-03-20 10:22:00,-8.1663622470246,-12.316868018675022,1.0840423932136058,-11.28223,C
2018-03-20 10:23:00,-7.958583167783787,-12.124895317330838,1.0805112685079745,-11.28159,C
2018-03-20 10:24:00,-7.3571886144213545,-11.580539327848832,1.0758488609258734,-11.2811,C
2018-03-20 10:25:00,-7.750865571843864,-11.804320311383442,1.0962278567368253,-11.28049,C
2018-03-20 10:26:00,-8.233453696098884,-12.113700804547712,1.1093217457704059,-11.27988,C
2018-03-20 10:27:00,-8.109688212631603,-11.987722406431732,1.1034589753738153,-11.27954,C
2018-03-20 10:28:00,-8.030519419586692,-11.840211930559903,1.098326477144191,-11.27893,C
2018-03-20 10:29:00,-7.73464262813323,-11.636394858374324,1.13454586514767,-11.27829,C
2018-03-20 10:30:00,-8.266096217051764,-12.124826851485906,1.117415627277401,-11.27783,C
2018-03-20 10:31:00,-8.53284862931427,-12.176667856940012,1.11413427477064,-11.27716,C
2018-03-20 10:32:00,-8.382520552907634,-12.026872223249418,1.1141926412965297,-11.27667,C
2018-03-20 10:33:00,-7.472545202570775,-11.243521669734902,1.1285614313971024,-11.27615,C
2018-03-20 10:34:00,-7.891780600609753,-11.872011401786075,1.1348223105935364,-11.27563,C
2018-03-20 10:35:00,-8.70079937583985,-12.352406337846817,1.1050226267335859,-11.27509,C
2018-03-20 10:36:00,-8.759566224260345,-12.290277563730763,1.107315645266942,-11.2746,C
2018-03-20 10:37:00,-8.04129572195402,-11.71454215269275,1.1197329605675206,-11.27426,C
2018-03-20 10:38:00,-8.52875375263098,-12.147392201191723,1.0819554470260888,-11.27368,C
2018-03-20 10:39:00,-8.251625408277583,-12.05343115877392,1.063270879562916,-11.27325,C
2018-03-20 10:40:00,-8.70305385824988,-12.191190344784063,1.1123591617192687,-11.27258,C
2018-03-20 10:41:00,-8.924264699121366,-12.240584273267581,1.101364063239255,-11.27225,C
2018-03-20 10:42:00,-8.796526192086628,-12.117543033856842,1.1032808836969696,-11.27158,C
2018-03-20 10:43:00,-8.235543100746565,-11.936490940038885,1.0805836799937971,-11.27084,C
2018-03-20 10:44:00,-8.73776382155521,-12.327458939433534,1.098167413714533,-11.27048,C
2018-03-20 10:45:00,-8.61817381182668,-12.196307309547187,1.0977906012631227,-11.2699,C
2018-03-20 10:46:00,-8.753961284064504,-12.20624257720207,1.1029649016150662,-11.26935,C
2018-03-20 10:47:00,-8.502942068011498,-12.008683594999463,1.0951905757338576,-11.2688,C
2018-03-20 10:48:00,-7.650238973556463,-11.39523138950069,1.0717180672516777,-11.26822,C
2018-03-20 10:49:00,-8.204771551370673,-11.908297580682394,1.1113537668446298,-11.26773,C
2018-03-20 10:50:00,-8.37581208095074,-11.780630847935425,1.106359500048943,-11.26709,C
